title,author,avg_rating,total_ratings
To Kill a Mockingbird,Harper Lee,4.27,"5,260,972"
Harry Potter and the Sorcerer's Stone (Harry Potter #1),J.K. Rowling,4.48,"8,496,025"
Pride and Prejudice,Jane Austen,4.28,"3,595,947"
The Diary of a Young Girl,Anne Frank,4.17,"3,236,081"
Animal Farm,George Orwell,3.97,"3,260,451"
1984,George Orwell,4.19,"3,808,682"
The Little Prince,Antoine de Saint-Exupéry,4.32,"1,720,530"
The Great Gatsby,F. Scott Fitzgerald,3.93,"4,435,956"
The Catcher in the Rye,J.D. Salinger,3.81,"3,105,481"
The Lord of the Rings,J.R.R. Tolkien,4.51,"617,013"
The Book Thief,Markus Zusak,4.38,"2,170,783"
Jane Eyre,Charlotte Brontë,4.14,"1,848,494"
The Chronicles of Narnia (Chronicles of Narnia #1-7),C.S. Lewis,4.26,"585,592"
Lord of the Flies,William Golding,3.69,"2,565,990"
Romeo and Juliet,William Shakespeare,3.75,"2,316,659"
Harry Potter and the Deathly Hallows (Harry Potter #7),J.K. Rowling,4.62,"3,241,986"
The Kite Runner,Khaled Hosseini,4.32,"2,762,477"
The Giver (The Giver #1),Lois Lowry,4.13,"2,103,321"
The Giving Tree,Shel Silverstein,4.37,"1,015,892"
Charlotte's Web,E.B. White,4.19,"1,622,919"
Little Women,Louisa May Alcott,4.12,"1,935,665"
The Hunger Games (The Hunger Games #1),Suzanne Collins,4.32,"7,366,494"
The Hobbit,J.R.R. Tolkien,4.28,"3,363,301"
Of Mice and Men,John Steinbeck,3.88,"2,221,909"
Fahrenheit 451,Ray Bradbury,3.98,"2,014,902"
Green Eggs and Ham,Dr. Seuss,4.30,"699,999"
Harry Potter and the Prisoner of Azkaban (Harry Potter #3),J.K. Rowling,4.58,"3,441,969"
Alice's Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,4.06,"509,636"
Wuthering Heights,Emily Brontë,3.88,"1,557,716"
The Picture of Dorian Gray,Oscar Wilde,4.10,"1,198,577"
Night  (The Night Trilogy #1),Elie Wiesel,4.35,"1,099,824"
Gone with the Wind,Margaret Mitchell,4.30,"1,148,369"
Harry Potter and the Goblet of Fire (Harry Potter #4),J.K. Rowling,4.57,"3,059,393"
The Holy Bible: King James Version,Anonymous,4.42,"249,538"
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1),Douglas Adams,4.22,"1,635,906"
Hamlet,William Shakespeare,4.03,"831,199"
Harry Potter and the Half-Blood Prince (Harry Potter #6),J.K. Rowling,4.57,"2,836,276"
The Adventures of Huckleberry Finn,Mark Twain,3.82,"1,209,768"
Tolkien On Fairy-stories,J.R.R. Tolkien,4.30,"3,324"
Les Misérables,Victor Hugo,4.19,"735,393"
Brave New World / Brave New World Revisited,Aldous Huxley,4.17,"153,493"
The Alchemist,Paulo Coelho,3.90,"2,532,064"
Crime and Punishment,Fyodor Dostoevsky,4.24,"744,821"
The Help,Kathryn Stockett,4.46,"2,443,781"
The Secret Garden,Frances Hodgson Burnett,4.14,"1,027,764"
Memoirs of a Geisha,Arthur Golden,4.13,"1,857,944"
The Lion the Witch and the Wardrobe (Chronicles of Narnia #1),C.S. Lewis,4.23,"2,447,225"
The Odyssey,Homer,3.79,"957,523"
A Christmas Carol,Charles Dickens,4.07,"712,430"
The Cat in the Hat (The Cat in the Hat #1),Dr. Seuss,4.17,"490,218"
The Outsiders,S.E. Hinton,4.11,"1,117,529"
The Color Purple,Alice Walker,4.25,"594,655"
One Hundred Years of Solitude,Gabriel García Márquez,4.10,"853,637"
A Thousand Splendid Suns,Khaled Hosseini,4.40,"1,325,621"
The Grapes of Wrath,John Steinbeck,3.99,"823,945"
Where the Sidewalk Ends,Shel Silverstein,4.31,"1,282,060"
Anne of Green Gables (Anne of Green Gables #1),L.M. Montgomery,4.28,"851,850"
Where the Wild Things Are,Maurice Sendak,4.23,"916,708"
Ender's Game (Ender's Saga #1),Orson Scott Card,4.30,"1,250,187"
The Count of Monte Cristo,Alexandre Dumas,4.27,"824,571"
The Adventures of Tom Sawyer,Mark Twain,3.92,"845,798"
A Tale of Two Cities,Charles Dickens,3.86,"876,894"
Life of Pi,Yann Martel,3.93,"1,479,170"
One Flew Over the Cuckoo's Nest,Ken Kesey,4.20,"679,785"
The Handmaid's Tale (The Handmaid's Tale #1),Margaret Atwood,4.12,"1,735,949"
Oh the Places You'll Go!,Dr. Seuss,4.35,"370,126"
Anna Karenina,Leo Tolstoy,4.07,"752,232"
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,3.84,"1,344,384"
Flowers for Algernon,Daniel Keyes,4.17,"560,053"
Tuesdays with Morrie,Mitch Albom,4.14,"886,993"
Winnie-the-Pooh (Winnie-the-Pooh #1),A.A. Milne,4.34,"301,521"
The Fellowship of the Ring (The Lord of the Rings #1),J.R.R. Tolkien,4.38,"2,570,662"
Slaughterhouse-Five,Kurt Vonnegut Jr.,4.09,"1,175,947"
The Old Man and the Sea,Ernest Hemingway,3.79,"975,090"
Catch-22,Joseph Heller,3.98,"777,808"
The Scarlet Letter,Nathaniel Hawthorne,3.43,"782,083"
Macbeth,William Shakespeare,3.90,"775,281"
Twilight (The Twilight Saga #1),Stephenie Meyer,3.63,"5,731,209"
Lolita,Vladimir Nabokov,3.88,"742,854"
The Time Traveler's Wife,Audrey Niffenegger,3.99,"1,680,368"
The Metamorphosis,Franz Kafka,3.84,"799,806"
Siddhartha,Hermann Hesse,4.05,"670,006"
The Stranger,Albert Camus,really,avg
Goodnight Moon,Margaret Wise Brown,4.29,"342,033"
Harry Potter and the Chamber of Secrets (Harry Potter #2),J.K. Rowling,4.43,"3,279,440"
A Tree Grows in Brooklyn,Betty  Smith,4.28,"422,626"
War and Peace,Leo Tolstoy,4.14,"294,580"
The Little House Collection (Little House #1-9),Laura Ingalls Wilder,4.34,"148,085"
A Clockwork Orange,Anthony Burgess,really,avg
All Quiet on the Western Front,Erich Maria Remarque,4.02,"392,441"
The Stand,Stephen King,4.34,"689,181"
Don Quixote,Miguel de Cervantes Saavedra,3.89,"238,949"
Uncle Tom's Cabin,Harriet Beecher Stowe,3.89,"212,570"
القرآن الكريم,Anonymous,4.38,"62,770"
Atlas Shrugged,Ayn Rand,3.69,"372,172"
The Brothers Karamazov,Fyodor Dostoevsky,4.34,"278,348"
The Book of Mormon: Another Testament of Jesus Christ,Anonymous,4.29,"80,939"
The Poisonwood Bible,Barbara Kingsolver,4.08,"696,367"
Moby-Dick or the Whale,Herman Melville,3.52,"514,205"
I Know Why the Caged Bird Sings (Maya Angelou's Autobiography #1),Maya Angelou,4.27,"472,472"
The Da Vinci Code (Robert Langdon #2),Dan Brown,3.89,"2,142,282"
Great Expectations,Charles Dickens,3.79,"724,605"
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom,4.43,"291,306"
The Good Earth (House of Earth #1),Pearl S. Buck,3.99,"236,173"
Dracula,Bram Stoker,4.01,"1,083,916"
A Wrinkle in Time (Time Quintet #1),Madeleine L'Engle,3.99,"1,119,926"
The Fault in Our Stars,John Green,4.16,"4,314,309"
Matilda,Roald Dahl,4.33,"793,667"
The Perks of Being a Wallflower,Stephen Chbosky,4.22,"1,504,401"
Brave New World,Aldous Huxley,3.99,"1,636,325"
Sense and Sensibility,Jane Austen,4.08,"1,067,890"
The Princess Bride,William Goldman,4.26,"841,475"
The Iliad,Homer,3.89,"397,974"
East of Eden,John Steinbeck,4.39,"474,121"
The Tell-Tale Heart and Other Writings,Edgar Allan Poe,4.18,"232,330"
Where the Red Fern Grows,Wilson Rawls,4.09,"373,550"
The Lorax,Dr. Seuss,4.33,"316,954"
Man's Search for Meaning,Viktor E. Frankl,4.36,"542,398"
The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.89,"1,339,743"
The Declaration of Independence and The Constitution of the United States,Founding Fathers,4.45,"23,404"
Catching Fire (The Hunger Games #2),Suzanne Collins,4.30,"2,966,316"
Watership Down (Watership Down #1),Richard  Adams,4.07,"457,295"
A Game of Thrones (A Song of Ice and Fire #1),George R.R. Martin,4.44,"2,229,483"
Charlie and the Chocolate Factory (Charlie Bucket #1),Roald Dahl,4.15,"759,851"
The Last Lecture,Randy Pausch,4.25,"326,306"
The Bell Jar,Sylvia Plath,4.03,"722,104"
The Velveteen Rabbit,Margery Williams Bianco,4.28,"243,716"
Rebecca,Daphne du Maurier,4.24,"540,422"
The Fountainhead,Ayn Rand,3.88,"309,725"
The Lovely Bones,Alice Sebold,3.83,"2,183,716"
Alice in Wonderland,Jane Carruth,4.03,"384,699"
And Then There Were None,Agatha Christie,4.27,"1,058,733"
Dune (Dune #1),Frank Herbert,4.25,"1,069,840"
The Call of the Wild,Jack London,3.89,"383,337"
The Girl with the Dragon Tattoo (Millennium #1),Stieg Larsson,4.15,"2,899,662"
The Five People You Meet in Heaven,Mitch Albom,3.96,"641,365"
Perfume: The Story of a Murderer,Patrick Süskind,4.03,"391,631"
The Return of the King (The Lord of the Rings #3),J.R.R. Tolkien,4.55,"769,973"
Animal Farm / 1984,George Orwell,4.30,"180,504"
The Wonderful Wizard of Oz (Oz #1),L. Frank Baum,3.99,"413,405"
Angela's Ashes (Frank McCourt #1),Frank McCourt,4.13,"587,128"
Love You Forever,Robert Munsch,4.36,"221,821"
A Prayer for Owen Meany,John Irving,4.24,"301,897"
Bridge to Terabithia,Katherine Paterson,4.02,"498,000"
The Two Towers (The Lord of the Rings #2),J.R.R. Tolkien,4.46,"821,636"
A Midsummer Night's Dream,William Shakespeare,3.95,"489,408"
The Divine Comedy,Dante Alighieri,4.06,"135,316"
The Road,Cormac McCarthy,3.98,"795,464"
The Prophet,Kahlil Gibran,4.23,"266,418"
Persuasion,Jane Austen,4.14,"592,580"
The Name of the Rose,Umberto Eco,4.13,"331,754"
The Three Musketeers (The D'Artagnan Romances #1),Alexandre Dumas,4.08,"296,820"
Water for Elephants,Sara Gruen,4.10,"1,498,373"
The Golden Compass (His Dark Materials #1),Philip Pullman,4.01,"1,408,802"
The Boy in the Striped Pajamas,John Boyne,4.16,"661,162"
How the Grinch Stole Christmas!,Dr. Seuss,4.36,"374,549"
Jonathan Livingston Seagull,Richard Bach,3.85,"227,743"
Blood River: A Journey to Africa's Broken Heart,Tim Butcher,3.93,"11,475"
The Pillars of the Earth (Kingsbridge #1),Ken Follett,4.33,"703,863"
Oliver Twist,Charles Dickens,3.87,"353,590"
The Secret Life of Bees,Sue Monk Kidd,4.07,"1,202,969"
The Notebook (The Notebook #1),Nicholas Sparks,4.13,"1,497,406"
The Master and Margarita,Mikhail Bulgakov,4.30,"288,342"
The Crucible,Arthur  Miller,3.60,"363,382"
The Complete Sherlock Holmes,Arthur Conan Doyle,4.49,"189,946"
Mockingjay (The Hunger Games #3),Suzanne Collins,4.06,"2,724,130"
In Cold Blood,Truman Capote,4.08,"591,506"
The Shadow of the Wind (The Cemetery of Forgotten Books #1),Carlos Ruiz Zafón,4.28,"547,128"
The Red Tent,Anita Diamant,4.19,"558,177"
Heart of Darkness,Joseph Conrad,3.43,"463,992"
Love in the Time of Cholera,Gabriel García Márquez,3.93,"457,763"
The Gift of the Magi,O. Henry,4.10,"88,847"
The Glass Castle,Jeannette Walls,4.29,"1,037,056"
The Unbearable Lightness of Being,Milan Kundera,4.11,"394,930"
Eat Pray Love: One Woman's Search for Everything Across Italy India and Indonesia,Elizabeth Gilbert,3.60,"1,613,540"
Interview with the Vampire (The Vampire Chronicles #1),Anne Rice,4.01,"530,627"
On the Road,Jack Kerouac,3.62,"377,492"
The Canterbury Tales,Geoffrey Chaucer,3.52,"205,781"
The Art of War,Sun Tzu,3.97,"401,165"
Aesop's Fables,Aesop,4.05,"121,122"
The Screwtape Letters,C.S. Lewis,4.24,"383,081"
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.60,"122,229"
The Godfather (The Godfather #1),Mario Puzo,4.37,"375,784"
Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,3.83,"468,637"
Gulliver's Travels: Travels into Several Remote Nations of the World.,Jonathan Swift,3.58,"253,067"
Fight Club,Chuck Palahniuk,4.19,"538,397"
Walden,Henry David Thoreau,3.78,"174,939"
Robinson Crusoe (Robinson Crusoe #1),Daniel Defoe,3.68,"275,178"
Invisible Man,Ralph Ellison,3.90,"171,344"
Sophie's World,Jostein Gaarder,3.95,"231,209"
The Origin of Species,Charles Darwin,3.99,"107,511"
The Complete Grimm's Fairy Tales,Jacob Grimm,4.28,"151,676"
The Prince,Niccolò Machiavelli,3.83,"295,209"
Emma,Jane Austen,4.03,"759,894"
The Trial,Franz Kafka,3.96,"269,703"
Roots: The Saga of an American Family,Alex Haley,4.43,"154,962"
Watchmen,Alan Moore,4.37,"520,270"
The Time Machine,H.G. Wells,3.90,"465,048"
Candide,Voltaire,3.77,"246,496"
Atonement,Ian McEwan,3.92,"478,641"
Go Ask Alice,Beatrice Sparks,3.75,"255,124"
Beloved,Toni Morrison,3.91,"375,400"
My Sister's Keeper,Jodi Picoult,4.09,"1,133,808"
Tuck Everlasting,Natalie Babbitt,3.89,"254,526"
The Sun Also Rises,Ernest Hemingway,3.81,"396,643"
Stranger in a Strange Land,Robert A. Heinlein,3.92,"293,759"
The Mists of Avalon (Avalon #1),Marion Zimmer Bradley,4.12,"199,836"
Divergent (Divergent #1),Veronica Roth,4.16,"3,427,691"
Mere Christianity,C.S. Lewis,4.34,"350,355"
The Tale of Peter Rabbit,Beatrix Potter,4.20,"229,209"
The Phantom Tollbooth,Norton Juster,4.18,"268,597"
The Things They Carried,Tim O'Brien,4.13,"279,865"
Murder on the Orient Express (Hercule Poirot #10),Agatha Christie,4.19,"489,998"
Number the Stars,Lois Lowry,4.17,"508,800"
The Constitution of the United States of America,Founding Fathers,4.52,"26,322"
The Lightning Thief (Percy Jackson and the Olympians #1),Rick Riordan,4.28,"2,437,136"
Bury My Heart at Wounded Knee: An Indian History of the American West,Dee Brown,4.22,"81,536"
James and the Giant Peach,Roald Dahl,4.02,"428,878"
The Complete Maus,Art Spiegelman,4.55,"175,566"
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1-5),Douglas Adams,4.37,"305,907"
Schindler's List,Thomas Keneally,4.33,"154,529"
Middlesex,Jeffrey Eugenides,4.02,"611,653"
Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,Greg Mortenson,3.66,"339,813"
The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury,Bill Watterson,4.64,"116,786"
Into the Wild,Jon Krakauer,really,avg
Leaves of Grass,Walt Whitman,4.11,"95,102"
The Autobiography of Malcolm X,Malcolm X,4.34,"241,699"
Their Eyes Were Watching God,Zora Neale Hurston,3.96,"301,936"
A Little Princess,Frances Hodgson Burnett,4.21,"289,060"
The Addiction Manifesto,Jerry Weaver,4.95,"1,042"
"A Child Called ""It"" (Dave Pelzer #1)",Dave Pelzer,4.12,"405,193"
Speak,Laurie Halse Anderson,4.03,"535,173"
Peter Pan,J.M. Barrie,4.04,"314,057"
The Wind in the Willows,Kenneth Grahame,3.99,"196,479"
The World According to Garp,John Irving,4.09,"215,823"
American Gods (American Gods #1),Neil Gaiman,4.11,"840,550"
A People's History of the United States,Howard Zinn,4.07,"220,926"
The Republic,Plato,3.95,"186,196"
The Secret Magdalene,Ki Longfellow,4.14,"4,397"
The Story of My Life,Helen Keller,4.07,"142,335"
Holes (Holes #1),Louis Sachar,3.98,"1,085,032"
Looking for Alaska,John Green,3.99,"1,350,682"
The Hound of the Baskervilles (Sherlock Holmes #5),Arthur Conan Doyle,4.13,"300,362"
Good Omens: The Nice and Accurate Prophecies of Agnes Nutter Witch,Terry Pratchett,4.25,"633,890"
Things Fall Apart (The African Trilogy #1),Chinua Achebe,3.71,"326,760"
A Short History of Nearly Everything,Bill Bryson,4.20,"346,507"
زندگی مه آلود پریا,سید مرتضی مصطفوی,3.68,754
Cat's Cradle,Kurt Vonnegut Jr.,4.16,"366,368"
A Brief History of Time,Stephen Hawking,4.20,"372,784"
The Complete Fairy Tales,Hans Christian Andersen,4.28,"105,925"
A Farewell to Arms,Ernest Hemingway,3.81,"289,166"
A Separate Peace,John Knowles,3.59,"203,734"
Blindness,José Saramago,4.16,"241,925"
The Shack,William Paul Young,3.80,"592,282"
The Raven,Edgar Allan Poe,4.29,"119,433"
Island of the Blue Dolphins,Scott O'Dell,3.85,"314,765"
The God Delusion,Richard Dawkins,3.90,"252,986"
Madame Bovary,Gustave Flaubert,3.69,"291,104"
Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,4.28,"285,794"
The Joy Luck Club,Amy Tan,3.95,"636,276"
Sophie's Choice,William Styron,4.18,"86,434"
A Confederacy of Dunces,John Kennedy Toole,3.88,"252,676"
Tao Te Ching,Lao Tzu,4.28,"136,838"
The Neverending Story,Michael Ende,4.17,"183,647"
Flow Down Like Silver: Hypatia of Alexandria,Ki Longfellow,3.88,"5,295"
Extremely Loud & Incredibly Close,Jonathan Safran Foer,3.97,"402,966"
Never Let Me Go,Kazuo Ishiguro,3.84,"568,851"
Tess of the D'Urbervilles,Thomas Hardy,3.82,"259,723"
How to Win Friends and Influence People,Dale Carnegie,4.21,"792,602"
The Clan of the Cave Bear (Earth's Children #1),Jean M. Auel,4.07,"248,498"
Guns Germs and Steel: The Fates of Human Societies,Jared Diamond,4.04,"358,627"
Eclipse (The Twilight Saga #3),Stephenie Meyer,3.71,"1,611,473"
Angels & Demons (Robert Langdon #1),Dan Brown,3.92,"2,947,233"
Outlander (Outlander #1),Diana Gabaldon,4.24,"936,643"
One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn,3.97,"101,951"
The Tao of Pooh,Benjamin Hoff,3.99,"110,765"
Ulysses,James Joyce,3.74,"118,193"
Breaking Dawn (The Twilight Saga #4),Stephenie Meyer,3.72,"1,506,805"
A Light in the Attic,Shel Silverstein,4.34,"411,985"
The Jungle,Upton Sinclair,3.76,"136,013"
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.14,"639,466"
The Phantom of the Opera,Gaston Leroux,3.96,"216,497"
Nickel and Dimed: On (Not) Getting by in America,Barbara Ehrenreich,3.64,"186,203"
Paradise Lost,John Milton,3.82,"151,303"
The Name of the Wind (The Kingkiller Chronicle #1),Patrick Rothfuss,4.52,"829,112"
Lonesome Dove (Lonesome Dove #1),Larry McMurtry,4.50,"165,380"
Horton Hears a Who!,Dr. Seuss,4.19,"103,699"
The God of Small Things,Arundhati Roy,3.95,"270,310"
The House of the Spirits,Isabel Allende,4.26,"223,218"
All Creatures Great and Small / All Things Bright and Beautiful,James Herriot,4.30,"13,588"
Are You There God? It's Me Margaret,Judy Blume,3.91,"201,391"
The Iliad/The Odyssey,Homer,4.06,"69,170"
Treasure Island,Robert Louis Stevenson,3.84,"443,754"
The Shining,Stephen King,4.25,"1,291,479"
New Moon (The Twilight Saga #2),Stephenie Meyer,3.57,"1,687,601"
The Green Mile,Stephen King,4.46,"278,996"
V for Vendetta,Alan Moore,4.25,"290,035"
The Complete Works,William Shakespeare,4.47,"52,799"
Julius Caesar,William Shakespeare,3.69,"186,205"
The Foundation Trilogy (Foundation #1-3),Isaac Asimov,4.41,"96,429"
Neverwhere (London Below #1),Neil Gaiman,4.17,"475,879"
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.18,"684,833"
Little House in the Big Woods (Little House #1),Laura Ingalls Wilder,4.19,"250,723"
The Elements of Style,William Strunk Jr.,4.16,"80,286"
